dataset,method,seed,n_samples,n_context,n_behavior,anomaly_rate,auroc,auprc,nan_rate,runtime_sec,timestamp
thyroid,IF,42,3772,3,3,0.1123188405797101,0.9615317094579768,0.6199575117651331,0.0,0.1956219673156738,2026-02-02T23:40:17.742414
thyroid,IF-concat,42,3772,3,3,0.1123188405797101,0.9893350888742594,0.9165065926061384,0.0,0.1663539409637451,2026-02-02T23:40:17.915387
thyroid,DIF,42,3772,3,3,0.1123188405797101,0.9625777192597468,0.7560704126784971,0.0,1.2495028972625732,2026-02-02T23:40:19.173148
thyroid,CVAE,42,3772,3,3,0.1123188405797101,0.9181771633384536,0.6978282285948495,0.0,6.584739685058594,2026-02-02T23:40:25.767897
thyroid,CWAE-MMD-IF,42,3772,3,3,0.1123188405797101,0.8926486723721746,0.605305493911121,0.0,11.426623106002808,2026-02-02T23:40:37.204374
thyroid,CWAE-MMD-CRPS,42,3772,3,3,0.1123188405797101,0.9147977470558116,0.6086061707727208,0.0,11.831707000732422,2026-02-02T23:40:49.044243
thyroid,CWAE-MMD-Huber,42,3772,3,3,0.1123188405797101,0.8782824957940165,0.5543042087355181,0.0,12.14812469482422,2026-02-02T23:41:01.201890
thyroid,CWAE-MMD-DIF-Dual,42,3772,3,3,0.1123188405797101,0.9569307292809596,0.6754644927176764,0.0,14.375162124633787,2026-02-02T23:41:15.587067
thyroid,CWAE-MMD-IF-Dual,42,3772,3,3,0.1123188405797101,0.9559798112793504,0.6211207552836793,0.0,12.069273471832275,2026-02-02T23:41:27.670754
thyroid,CWAE-MMD-IF-Latent,42,3772,3,3,0.1123188405797101,0.9650208470484968,0.6643119274842648,0.0,11.72614312171936,2026-02-02T23:41:39.405774
thyroid,IF,123,3772,3,3,0.1123188405797101,0.9665569453587888,0.6742839473631217,0.0,0.2282686233520507,2026-02-02T23:41:39.643578
thyroid,IF-concat,123,3772,3,3,0.1123188405797101,0.9889547216736156,0.8856271209053105,0.0,0.2265064716339111,2026-02-02T23:41:39.878914
thyroid,DIF,123,3772,3,3,0.1123188405797101,0.9680345256382124,0.7698867379387531,0.0,1.324441909790039,2026-02-02T23:41:41.213258
thyroid,CVAE,123,3772,3,3,0.1123188405797101,0.8594396898544364,0.5550119037445443,0.0,5.079651117324829,2026-02-02T23:41:46.302407
thyroid,CWAE-MMD-IF,123,3772,3,3,0.1123188405797101,0.8635505815229317,0.5559471943277007,0.0,11.243621110916138,2026-02-02T23:41:57.554736
thyroid,CWAE-MMD-CRPS,123,3772,3,3,0.1123188405797101,0.9178406846609612,0.6648863226992751,0.0,11.549773931503296,2026-02-02T23:42:09.113132
thyroid,CWAE-MMD-Huber,123,3772,3,3,0.1123188405797101,0.8936873674200863,0.5902353832646355,0.0,11.495842695236206,2026-02-02T23:42:20.619024
thyroid,CWAE-MMD-DIF-Dual,123,3772,3,3,0.1123188405797101,0.9543705654304732,0.6733640318773004,0.0,13.840488910675049,2026-02-02T23:42:34.469856
thyroid,CWAE-MMD-IF-Dual,123,3772,3,3,0.1123188405797101,0.9587008997147246,0.6589833334274448,0.0,12.083047866821287,2026-02-02T23:42:46.565314
thyroid,CWAE-MMD-IF-Latent,123,3772,3,3,0.1123188405797101,0.9689269256089532,0.7046578476725609,0.0,11.606350898742676,2026-02-02T23:42:58.180073
thyroid,IF,456,3772,3,3,0.1123188405797101,0.958693584960866,0.6275477076152907,0.0,0.1960618495941162,2026-02-02T23:42:58.383224
thyroid,IF-concat,456,3772,3,3,0.1123188405797101,0.990139711798698,0.9161357207872006,0.0,0.1839528083801269,2026-02-02T23:42:58.573697
thyroid,DIF,456,3772,3,3,0.1123188405797101,0.9606027357179432,0.7427379538072513,0.0,1.36564302444458,2026-02-02T23:42:59.950102
thyroid,CVAE,456,3772,3,3,0.1123188405797101,0.8587959915148855,0.4761977362166664,0.0,5.278670310974121,2026-02-02T23:43:05.242152
thyroid,CWAE-MMD-IF,456,3772,3,3,0.1123188405797101,0.9150903372101528,0.695379619082711,0.0,12.325202703475952,2026-02-02T23:43:17.576786
thyroid,CWAE-MMD-CRPS,456,3772,3,3,0.1123188405797101,0.9510642966864165,0.7672947548878954,0.0,12.430704116821287,2026-02-02T23:43:30.017931
thyroid,CWAE-MMD-Huber,456,3772,3,3,0.1123188405797101,0.885333918513642,0.5801616524809325,0.0,11.461909532546995,2026-02-02T23:43:41.489841
thyroid,CWAE-MMD-DIF-Dual,456,3772,3,3,0.1123188405797101,0.9492502377295003,0.6650532165703688,0.0,14.36940598487854,2026-02-02T23:43:55.868564
thyroid,CWAE-MMD-IF-Dual,456,3772,3,3,0.1123188405797101,0.9521761392729134,0.6882290990883629,0.0,11.9875226020813,2026-02-02T23:44:07.869868
thyroid,CWAE-MMD-IF-Latent,456,3772,3,3,0.1123188405797101,0.956799063711506,0.6310608189164797,0.0,11.68363070487976,2026-02-02T23:44:19.563311
cardio,IF,42,1831,10,11,0.3471400394477317,0.8357250755287009,0.7685700006508321,0.0,0.2402372360229492,2026-02-02T23:44:19.814641
cardio,IF-concat,42,1831,10,11,0.3471400394477317,0.9576695962647626,0.9142325573586082,0.0,0.2459855079650879,2026-02-02T23:44:20.070613
cardio,DIF,42,1831,10,11,0.3471400394477317,0.960381763251854,0.9011061665156758,0.0,1.3205626010894775,2026-02-02T23:44:21.399879
cardio,CVAE,42,1831,10,11,0.3471400394477317,0.7182951112331777,0.7284456712432951,0.0,2.634690046310425,2026-02-02T23:44:24.044769
cardio,CWAE-MMD-IF,42,1831,10,11,0.3471400394477317,0.8054106014831091,0.7620890659023167,0.0,5.996065855026245,2026-02-02T23:44:30.052363
cardio,CWAE-MMD-CRPS,42,1831,10,11,0.3471400394477317,0.7575013732491074,0.7380448324455638,0.0,6.700913190841675,2026-02-02T23:44:36.770529
cardio,CWAE-MMD-Huber,42,1831,10,11,0.3471400394477317,0.8034708871189233,0.7475148024789282,0.0,6.258627891540527,2026-02-02T23:44:43.039224
cardio,CWAE-MMD-DIF-Dual,42,1831,10,11,0.3471400394477317,0.8760985992859106,0.7880076219321407,0.0,8.774881839752197,2026-02-02T23:44:51.823162
cardio,CWAE-MMD-IF-Dual,42,1831,10,11,0.3471400394477317,0.8593106289480911,0.788832442245549,0.0,6.32198691368103,2026-02-02T23:44:58.157196
cardio,CWAE-MMD-IF-Latent,42,1831,10,11,0.3471400394477317,0.8567186212578961,0.7440701991455501,0.0,6.110381841659546,2026-02-02T23:45:04.276408
cardio,IF,123,1831,10,11,0.3471400394477317,0.8581090359791266,0.7788473117325654,0.0,0.2370965480804443,2026-02-02T23:45:04.523695
cardio,IF-concat,123,1831,10,11,0.3471400394477317,0.9494301016204338,0.8948458991334465,0.0,0.2091748714447021,2026-02-02T23:45:04.741860
cardio,DIF,123,1831,10,11,0.3471400394477317,0.9653426256522936,0.9229358119492524,0.0,1.468529224395752,2026-02-02T23:45:06.222680
cardio,CVAE,123,1831,10,11,0.3471400394477317,0.7469960175775885,0.7452674013744445,0.0,2.95435094833374,2026-02-02T23:45:09.189950
cardio,CWAE-MMD-IF,123,1831,10,11,0.3471400394477317,0.8549848942598187,0.8118328330666018,0.0,6.167643308639526,2026-02-02T23:45:15.368441
cardio,CWAE-MMD-CRPS,123,1831,10,11,0.3471400394477317,0.8584866794836583,0.8115553153097377,0.0,6.41245436668396,2026-02-02T23:45:21.791120
cardio,CWAE-MMD-Huber,123,1831,10,11,0.3471400394477317,0.8344204888766822,0.7931132603831541,0.0,5.648830413818359,2026-02-02T23:45:27.450730
cardio,CWAE-MMD-DIF-Dual,123,1831,10,11,0.3471400394477317,0.9117000823949464,0.8521119237227953,0.0,7.868016004562378,2026-02-02T23:45:35.327781
cardio,CWAE-MMD-IF-Dual,123,1831,10,11,0.3471400394477317,0.9005939302389454,0.8453766822149347,0.0,6.264328956604004,2026-02-02T23:45:41.606636
cardio,CWAE-MMD-IF-Latent,123,1831,10,11,0.3471400394477317,0.90004463059599,0.8177187630776555,0.0,5.44371509552002,2026-02-02T23:45:47.060092
cardio,IF,456,1831,10,11,0.3471400394477317,0.8714123867069486,0.7882841158910187,0.0,0.2257828712463379,2026-02-02T23:45:47.295933
cardio,IF-concat,456,1831,10,11,0.3471400394477317,0.9536700082394948,0.9016212107610196,0.0,0.1868388652801513,2026-02-02T23:45:47.490680
cardio,DIF,456,1831,10,11,0.3471400394477317,0.9652396319692392,0.9218351842720554,0.0,1.2384862899780271,2026-02-02T23:45:48.738805
cardio,CVAE,456,1831,10,11,0.3471400394477317,0.7092316671244163,0.7072741666449064,0.0,2.870004177093506,2026-02-02T23:45:51.619006
cardio,CWAE-MMD-IF,456,1831,10,11,0.3471400394477317,0.8641341664377918,0.8069535744169711,0.0,5.600238800048828,2026-02-02T23:45:57.228322
cardio,CWAE-MMD-CRPS,456,1831,10,11,0.3471400394477317,0.8315023345234827,0.7719973929366086,0.0,5.68899393081665,2026-02-02T23:46:02.925978
cardio,CWAE-MMD-Huber,456,1831,10,11,0.3471400394477317,0.8052217797308431,0.7781286468347267,0.0,5.4673144817352295,2026-02-02T23:46:08.401310
cardio,CWAE-MMD-DIF-Dual,456,1831,10,11,0.3471400394477317,0.8680135951661632,0.7881096337674933,0.0,7.80776572227478,2026-02-02T23:46:16.217655
cardio,CWAE-MMD-IF-Dual,456,1831,10,11,0.3471400394477317,0.8770083768195551,0.8076434673193343,0.0,5.682609796524048,2026-02-02T23:46:21.911665
cardio,CWAE-MMD-IF-Latent,456,1831,10,11,0.3471400394477317,0.8588814886020323,0.7639671666834716,0.0,5.425373315811157,2026-02-02T23:46:27.345401
arrhythmia,IF,42,452,137,137,0.4615384615384615,0.807556080283353,0.7865977695472859,0.0,0.1848824024200439,2026-02-02T23:46:27.538145
arrhythmia,IF-concat,42,452,137,137,0.4615384615384615,0.843171979535616,0.8416393965404635,0.0,0.1593708992004394,2026-02-02T23:46:27.703511
arrhythmia,DIF,42,452,137,137,0.4615384615384615,0.7796143250688705,0.7619154616575821,0.0,1.1010355949401855,2026-02-02T23:46:28.812487
arrhythmia,CVAE,42,452,137,137,0.4615384615384615,0.7975206611570249,0.798515024218733,0.0,0.9883363246917723,2026-02-02T23:46:29.812088
arrhythmia,CWAE-MMD-IF,42,452,137,137,0.4615384615384615,0.7977174340810704,0.7877218688415537,0.0,1.8054914474487305,2026-02-02T23:46:31.627789
arrhythmia,CWAE-MMD-CRPS,42,452,137,137,0.4615384615384615,0.8026367571822116,0.7974460973791954,0.0,1.7850570678710938,2026-02-02T23:46:33.422232
arrhythmia,CWAE-MMD-Huber,42,452,137,137,0.4615384615384615,0.7924045651318378,0.7902867910759516,0.0,1.7359559535980225,2026-02-02T23:46:35.166576
arrhythmia,CWAE-MMD-DIF-Dual,42,452,137,137,0.4615384615384615,0.7898465171192444,0.7649212651809094,0.0,3.978438854217529,2026-02-02T23:46:39.154738
arrhythmia,CWAE-MMD-IF-Dual,42,452,137,137,0.4615384615384615,0.8006690279417552,0.7923750273156385,0.0,2.0071001052856445,2026-02-02T23:46:41.174552
arrhythmia,CWAE-MMD-IF-Latent,42,452,137,137,0.4615384615384615,0.7778433687524596,0.769625245863695,0.0,1.6531593799591064,2026-02-02T23:46:42.837456
arrhythmia,IF,123,452,137,137,0.4615384615384615,0.7786304604486424,0.7499107383568607,0.0,0.1959776878356933,2026-02-02T23:46:43.042121
arrhythmia,IF-concat,123,452,137,137,0.4615384615384615,0.7699724517906337,0.7793857280057752,0.0,0.1551117897033691,2026-02-02T23:46:43.205317
arrhythmia,DIF,123,452,137,137,0.4615384615384615,0.7473435655253836,0.7207555131892324,0.0,1.117713451385498,2026-02-02T23:46:44.332487
arrhythmia,CVAE,123,452,137,137,0.4615384615384615,0.7682014954742228,0.7537833583522003,0.0,1.0968384742736816,2026-02-02T23:46:45.439761
arrhythmia,CWAE-MMD-IF,123,452,137,137,0.4615384615384615,0.786107831562377,0.7820141882782781,0.0,1.8989510536193848,2026-02-02T23:46:47.349866
arrhythmia,CWAE-MMD-CRPS,123,452,137,137,0.4615384615384615,0.7697756788665879,0.7563302007791215,0.0,1.815757751464844,2026-02-02T23:46:49.175175
arrhythmia,CWAE-MMD-Huber,123,452,137,137,0.4615384615384615,0.7807949626131445,0.7752237184980685,0.0,1.9054536819458008,2026-02-02T23:46:51.090806
arrhythmia,CWAE-MMD-DIF-Dual,123,452,137,137,0.4615384615384615,0.7719401810310901,0.7441953152808779,0.0,3.73248028755188,2026-02-02T23:46:54.833368
arrhythmia,CWAE-MMD-IF-Dual,123,452,137,137,0.4615384615384615,0.7833530106257379,0.7814875067652294,0.0,1.9808294773101809,2026-02-02T23:46:56.828088
arrhythmia,CWAE-MMD-IF-Latent,123,452,137,137,0.4615384615384615,0.6889020070838253,0.650725777690417,0.0,1.6382527351379397,2026-02-02T23:46:58.476282
arrhythmia,IF,456,452,137,137,0.4615384615384615,0.7644628099173554,0.7349992784800983,0.0,0.1994495391845703,2026-02-02T23:46:58.684508
arrhythmia,IF-concat,456,452,137,137,0.4615384615384615,0.7689885871704054,0.7502420863533898,0.0,0.1637241840362548,2026-02-02T23:46:58.855749
arrhythmia,DIF,456,452,137,137,0.4615384615384615,0.748917748917749,0.6883954104233426,0.0,1.1537256240844729,2026-02-02T23:47:00.019157
arrhythmia,CVAE,456,452,137,137,0.4615384615384615,0.7711530893349076,0.7434348148761509,0.0,1.1365675926208496,2026-02-02T23:47:01.166565
arrhythmia,CWAE-MMD-IF,456,452,137,137,0.4615384615384615,0.7780401416765054,0.757144259531874,0.0,1.6596286296844482,2026-02-02T23:47:02.835475
arrhythmia,CWAE-MMD-CRPS,456,452,137,137,0.4615384615384615,0.7727272727272727,0.7511102813705197,0.0,1.7982208728790283,2026-02-02T23:47:04.643332
arrhythmia,CWAE-MMD-Huber,456,452,137,137,0.4615384615384615,0.7839433293978749,0.7478730745520848,0.0,1.850163459777832,2026-02-02T23:47:06.502847
arrhythmia,CWAE-MMD-DIF-Dual,456,452,137,137,0.4615384615384615,0.7518693427784336,0.7163013836156166,0.0,3.776144027709961,2026-02-02T23:47:10.287959
arrhythmia,CWAE-MMD-IF-Dual,456,452,137,137,0.4615384615384615,0.7780401416765053,0.7463803251068633,0.0,1.941626787185669,2026-02-02T23:47:12.242751
arrhythmia,CWAE-MMD-IF-Latent,456,452,137,137,0.4615384615384615,0.7022825659189296,0.6509906870864031,0.0,1.702173948287964,2026-02-02T23:47:13.953328
ionosphere,IF,42,351,16,17,0.7368421052631579,0.8636684303350969,0.94875728848605,0.0,0.1808881759643554,2026-02-02T23:47:14.141510
ionosphere,IF-concat,42,351,16,17,0.7368421052631579,0.9291005291005292,0.9739370921290996,0.0,0.1517863273620605,2026-02-02T23:47:14.299938
ionosphere,DIF,42,351,16,17,0.7368421052631579,0.948853615520282,0.9817848055507612,0.0,1.192291021347046,2026-02-02T23:47:15.501247
ionosphere,CVAE,42,351,16,17,0.7368421052631579,0.9398589065255732,0.980496099339077,0.0,0.666895866394043,2026-02-02T23:47:16.180900
ionosphere,CWAE-MMD-IF,42,351,16,17,0.7368421052631579,0.9465608465608466,0.9814159979520252,0.0,0.973114252090454,2026-02-02T23:47:17.163871
ionosphere,CWAE-MMD-CRPS,42,351,16,17,0.7368421052631579,0.9398589065255732,0.9794833381716384,0.0,0.995185375213623,2026-02-02T23:47:18.167654
ionosphere,CWAE-MMD-Huber,42,351,16,17,0.7368421052631579,0.946031746031746,0.9811214216561012,0.0,0.983452320098877,2026-02-02T23:47:19.159848
ionosphere,CWAE-MMD-DIF-Dual,42,351,16,17,0.7368421052631579,0.8887125220458554,0.9592348059752126,0.0,3.159276247024536,2026-02-02T23:47:22.326971
ionosphere,CWAE-MMD-IF-Dual,42,351,16,17,0.7368421052631579,0.8162257495590829,0.9150829165603348,0.0,1.1192326545715332,2026-02-02T23:47:23.457929
ionosphere,CWAE-MMD-IF-Latent,42,351,16,17,0.7368421052631579,0.5858906525573192,0.7325185832531262,0.0,0.9536938667297364,2026-02-02T23:47:24.420290
ionosphere,IF,123,351,16,17,0.7368421052631579,0.8523809523809524,0.9367473448049358,0.0,0.1912329196929931,2026-02-02T23:47:24.620006
ionosphere,IF-concat,123,351,16,17,0.7368421052631579,0.8950617283950617,0.9537935711007534,0.0,0.1866040229797363,2026-02-02T23:47:24.814713
ionosphere,DIF,123,351,16,17,0.7368421052631579,0.9375661375661376,0.9750081279423536,0.0,1.2270610332489014,2026-02-02T23:47:26.051088
ionosphere,CVAE,123,351,16,17,0.7368421052631579,0.9328042328042327,0.970647862036012,0.0,0.5328149795532227,2026-02-02T23:47:26.594996
ionosphere,CWAE-MMD-IF,123,351,16,17,0.7368421052631579,0.9502645502645504,0.982501777332464,0.0,0.935594081878662,2026-02-02T23:47:27.539369
ionosphere,CWAE-MMD-CRPS,123,351,16,17,0.7368421052631579,0.95026455026455,0.982221965476232,0.0,1.001579523086548,2026-02-02T23:47:28.549625
ionosphere,CWAE-MMD-Huber,123,351,16,17,0.7368421052631579,0.947442680776014,0.9813303565510804,0.0,0.9561154842376708,2026-02-02T23:47:29.514300
ionosphere,CWAE-MMD-DIF-Dual,123,351,16,17,0.7368421052631579,0.8814814814814815,0.9322948550479968,0.0,3.2679622173309326,2026-02-02T23:47:32.791317
ionosphere,CWAE-MMD-IF-Dual,123,351,16,17,0.7368421052631579,0.8160493827160494,0.8876689721516731,0.0,1.1388466358184814,2026-02-02T23:47:33.941919
ionosphere,CWAE-MMD-IF-Latent,123,351,16,17,0.7368421052631579,0.6238095238095238,0.7478318133318622,0.0,0.9769837856292723,2026-02-02T23:47:34.928529
ionosphere,IF,456,351,16,17,0.7368421052631579,0.8405643738977072,0.9364882969710504,0.0,0.205714464187622,2026-02-02T23:47:35.142976
ionosphere,IF-concat,456,351,16,17,0.7368421052631579,0.8987654320987655,0.9605382040859932,0.0,0.1721055507659912,2026-02-02T23:47:35.321823
ionosphere,DIF,456,351,16,17,0.7368421052631579,0.9349206349206348,0.976185711062988,0.0,1.1742351055145264,2026-02-02T23:47:36.504514
ionosphere,CVAE,456,351,16,17,0.7368421052631579,0.8846560846560847,0.9565653503910584,0.0,0.5492119789123535,2026-02-02T23:47:37.063425
ionosphere,CWAE-MMD-IF,456,351,16,17,0.7368421052631579,0.9047619047619048,0.9646459955283588,0.0,0.941490888595581,2026-02-02T23:47:38.013641
ionosphere,CWAE-MMD-CRPS,456,351,16,17,0.7368421052631579,0.901410934744268,0.962571354874874,0.0,1.0010974407196045,2026-02-02T23:47:39.022956
ionosphere,CWAE-MMD-Huber,456,351,16,17,0.7368421052631579,0.9077601410934744,0.9642778165470116,0.0,1.0064682960510254,2026-02-02T23:47:40.038153
ionosphere,CWAE-MMD-DIF-Dual,456,351,16,17,0.7368421052631579,0.8753086419753087,0.94096293598045,0.0,3.140028238296509,2026-02-02T23:47:43.186999
ionosphere,CWAE-MMD-IF-Dual,456,351,16,17,0.7368421052631579,0.837389770723104,0.9131046337390374,0.0,1.130176305770874,2026-02-02T23:47:44.328668
ionosphere,CWAE-MMD-IF-Latent,456,351,16,17,0.7368421052631579,0.6377425044091711,0.7557640640912062,0.0,1.0613222122192385,2026-02-02T23:47:45.398687
pima,IF,42,768,4,4,0.7282608695652174,0.7203358208955223,0.8678537121470342,0.0,0.2256815433502197,2026-02-02T23:47:45.633136
pima,IF-concat,42,768,4,4,0.7282608695652174,0.8052985074626865,0.8931930770734048,0.0,0.1945979595184326,2026-02-02T23:47:45.835715
pima,DIF,42,768,4,4,0.7282608695652174,0.772723880597015,0.8746125279830113,0.0,1.2300724983215332,2026-02-02T23:47:47.076217
pima,CVAE,42,768,4,4,0.7282608695652174,0.6918283582089553,0.8680453568520128,0.0,0.9430036544799804,2026-02-02T23:47:48.029812
pima,CWAE-MMD-IF,42,768,4,4,0.7282608695652174,0.7297388059701493,0.8912763431309114,0.0,1.8221328258514404,2026-02-02T23:47:49.861416
pima,CWAE-MMD-CRPS,42,768,4,4,0.7282608695652174,0.775223880597015,0.906935135285082,0.0,2.042569875717163,2026-02-02T23:47:51.912562
pima,CWAE-MMD-Huber,42,768,4,4,0.7282608695652174,0.7447388059701493,0.8950453324452066,0.0,1.7996923923492432,2026-02-02T23:47:53.720638
pima,CWAE-MMD-DIF-Dual,42,768,4,4,0.7282608695652174,0.7411940298507462,0.8814839780671497,0.0,4.052180767059326,2026-02-02T23:47:57.781360
pima,CWAE-MMD-IF-Dual,42,768,4,4,0.7282608695652174,0.7350373134328357,0.881659803255942,0.0,1.9697895050048828,2026-02-02T23:47:59.763153
pima,CWAE-MMD-IF-Latent,42,768,4,4,0.7282608695652174,0.6878358208955224,0.8418669852083555,0.0,1.969224214553833,2026-02-02T23:48:01.740998
pima,IF,123,768,4,4,0.7282608695652174,0.5987686567164179,0.7794489619220677,0.0,0.1733760833740234,2026-02-02T23:48:01.922154
